玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/26(日) 12:24:58.56 ID:bwzwHXw0<>【旅の概要】<br>期間：2010年9月12日～9月19日<br>ルート：東京～大阪～尾道～今治～徳島(フェリーで東京に帰還)<br><br>玉虫：男、大学生、今年3月にスノボで半月板を痛め手術<br>車種：ロードバイク(あずにゃん号)、08 Cannondale System6<br><br>【過去ログ・画像・動画集】<br>過去ログ：<br>dat版：ttp://www1.axfc.net/uploader/Sc/so/155091<br>html版：ttp://www1.axfc.net/uploader/Sc/so/155093<br><br>PASS:tamamusinyan<br>datなにそれ？な人はhtmlを落としてね！index.htmlで上から順になってるはずだから<br>※パー速のログは含みません <br><br>旅掲示板：※シロロさんありがとう！<br>ttp://tabi.shiroro.com/10/tamamushi/<br><br>画像集(＠ピカサ)：<br>ttp://picasaweb.google.co.jp/106482100541094568365/QsXwxG#<br><br>ニコニコ動画：<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.nicovideo.jp/watch/sm12181037<br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.nicovideo.jp/watch/sm12190163<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.nicovideo.jp/watch/sm12201381<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.nicovideo.jp/watch/sm12225639<br><br>Youtube：※YoutubeはHD画質でうｐしてます！<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.youtube.com/watch?v=lCbsWp7XfMg <br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.youtube.com/watch?v=ajeUHNgbNf0<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.youtube.com/watch?v=WxdswkbTGJc<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.youtube.com/watch?v=qanH0kUW8Fc <>【玉虫×あずにゃん】涼しくなったから自転車で旅行してみた【無事帰還】
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/25(月) 00:58:52.55 ID:5KHEU7go<>あと挨拶の人本当にありがとう<br>毎日感謝してます<br><br>実家でだらだらしてたらあっという間に冬みたいになってた<br><br>悔いのない人生にするため、今をしっかり生きようと思う<br><br><br>寝てないから少しおかしいな俺wmw<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/25(月) 08:10:19.97 ID:ZL6yPQAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/25(月) 23:34:39.67 ID:ZL6yPQAO<>おやすみ<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/26(火) 00:43:53.90 ID:i3j6DrYo<>おやすみ！<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/26(火) 09:15:13.88 ID:EAjuRwAO<>今、免許センター<br><br><br><br><br><br><br><br>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/26(火) 17:49:45.21 ID:lKN3kkc0<>がんばれ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/27(水) 00:19:41.26 ID:jo1w1io0<>ぉやすみ<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/27(水) 00:33:15.72 ID:t8vPKIU0<>久々に来てみたらまだ挨拶の人がw<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/27(水) 09:23:43.13 ID:cUEPOgAO<>またもや忘れてた･･････orz<br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/27(水) 09:24:03.18 ID:cUEPOgAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/27(水) 23:46:32.89 ID:cUEPOgAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/28(木) 08:28:23.91 ID:TBYTTQAO<>おはよう<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/28(木) 21:07:19.84 ID:vZoE1ego<>挨拶の人おはよう！そしてこんばんわ！<br>工具届いて自分でバラして組み立ててた笑<br><br>&gt;&gt;122<br>俺も来週から合宿で免許取り行くw<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/28(木) 23:53:34.29 ID:TBYTTQAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/29(金) 00:01:41.39 ID:j5wK4jIo<>おやすみなさい<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/10/29(金) 01:03:41.71 ID:mS6XXqAo<>おさしみなさい（*´∀`*）<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/29(金) 08:28:13.44 ID:NJj4LsAO<>お刺身嫌い<br><br><br><br><br><br>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/29(金) 13:57:48.23 ID:cJduNUAO<>自転車欲しいけどニートだから買えない<br>オクでもけっこういい値段するのね<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/10/29(金) 22:35:59.02 ID:KpcVFZ.0<>中免の合宿行って来ます^q^<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/29(金) 22:36:16.00 ID:NJj4LsAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/30(土) 08:18:17.50 ID:5OY1vsAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/31(日) 08:03:34.53 ID:IFtDdwAO<>orz<br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/31(日) 08:04:09.43 ID:IFtDdwAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/10/31(日) 23:00:27.82 ID:IFtDdwAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/01(月) 08:16:38.80 ID:mTeg3kAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/02(火) 00:52:10.52 ID:nTNMIsAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/02(火) 08:08:04.17 ID:nTNMIsAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/02(火) 23:40:57.02 ID:nTNMIsAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/03(水) 08:26:40.51 ID:jhkK7MAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/11/04(木) 00:11:37.11 ID:HMscUhE0<>ぉやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/04(木) 08:26:58.51 ID:x1MmwMAO<>おやすみ<br><br><br><br><br><br><br>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/04(木) 23:52:03.17 ID:x1MmwMAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/05(金) 08:30:43.64 ID:2V1Z9.AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/05(金) 22:36:22.76 ID:2V1Z9.AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/06(土) 08:21:33.34 ID:MvaUBUAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/06(土) 23:40:36.77 ID:MvaUBUAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/07(日) 09:19:47.74 ID:gUiVTQAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/07(日) 23:19:41.66 ID:gUiVTQAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/07(日) 23:53:50.78 ID:.jDWJfoo<>おやすみなさい<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/08(月) 08:03:49.42 ID:VSdEdAAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/11/09(火) 00:36:16.85 ID:NqVlykk0<>ぉやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/09(火) 08:18:45.37 ID:RUyaDEAO<>おやすみ<br><br><br><br><br><br><br>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/09(火) 23:24:37.44 ID:RUyaDEAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/10(水) 08:42:02.41 ID:JUnswsAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/11(木) 01:00:49.20 ID:CxOS7YAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/11(木) 08:28:20.48 ID:CxOS7YAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/11(木) 08:38:42.61 ID:9eb.MzQo<>おはようございます<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/11(木) 23:22:02.32 ID:CxOS7YAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/12(金) 08:45:03.56 ID:bZdxUAAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/13(土) 00:37:04.38 ID:L8J6eAAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/13(土) 08:13:26.73 ID:L8J6eAAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/11/13(土) 23:42:34.46 ID:L8J6eAAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/14(日) 11:17:45.85 ID:yrTinQAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/14(日) 23:42:51.69 ID:yrTinQAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/15(月) 08:01:08.95 ID:A65aK6AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/15(月) 11:15:49.43 ID:dkwKfswo<>名無し欄変わったんだな<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/15(月) 23:12:50.63 ID:5X4FSeIo<>なにかのアナウンスだと思うけど<br>コミケとかそんなやつ？<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/16(火) 01:11:38.24 ID:s3Q/4UAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/16(火) 08:07:16.45 ID:s3Q/4UAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/16(火) 23:49:19.60 ID:s3Q/4UAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/17(水) 08:12:25.36 ID:3jrqY.AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/18(木) 00:49:36.83 ID:dGSn4UAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/18(木) 08:35:02.12 ID:dGSn4UAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/19(金) 01:21:34.12 ID:on98V6AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/19(金) 09:10:19.01 ID:on98V6AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/19(金) 23:52:50.48 ID:on98V6AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/20(土) 08:29:57.70 ID:CvClp.AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/20(土) 08:43:27.97 ID:msEEFVgo<>たまには休日の朝に顔を出してみる<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/21(日) 01:23:42.37 ID:0K6YBYAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/21(日) 10:58:29.91 ID:0K6YBYAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/21(日) 23:33:29.15 ID:0K6YBYAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/22(月) 08:28:00.10 ID:7/2BNUAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/23(火) 08:12:01.03 ID:bnQroMAO<>おやすみ<br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/11/24(水) 01:52:58.66 ID:Kcd8TRY0<>ぉやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/24(水) 15:15:28.25 ID:0L62oAAO<>忘れてた<br><br>おやすみ<br><br><br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/25(木) 00:18:41.74 ID:buiy2MAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/25(木) 08:23:24.70 ID:buiy2MAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/25(木) 12:01:18.16 ID:pbxwl0go<>おはようございます<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/26(金) 01:36:09.13 ID:iy6Tf2AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/26(金) 08:12:30.39 ID:iy6Tf2AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/26(金) 23:32:37.48 ID:iy6Tf2AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/27(土) 08:43:15.13 ID:4hZH3QAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/11/28(日) 12:51:04.77 ID:4d5u81Q0<>ぉやすみ<br><br><br><br><br>ぉはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/11/29(月) 00:48:23.31 ID:rrLWSgc0<>ぉやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/29(月) 01:17:19.89 ID:GyykeQAO<>おはよう<br><br><br><br><br><br><br>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/29(月) 08:31:42.58 ID:GyykeQAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/30(火) 08:48:57.76 ID:txxIkAAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/11/30(火) 23:46:53.29 ID:txxIkAAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/01(水) 08:29:03.05 ID:vAE17IAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/01(水) 23:50:35.45 ID:vAE17IAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/02(木) 08:10:20.76 ID:b.KuDkAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/03(金) 08:09:10.08 ID:yu4MHkAO<>おやすみ<br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/03(金) 23:16:24.80 ID:yu4MHkAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/04(土) 08:16:20.82 ID:uR3w06AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/12/05(日) 04:23:31.52 ID:j4Tjx3Y0<>ぉやすみ！！！！！！！！！！！！！<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/05(日) 12:30:02.44 ID:UAIgOYAO<>おやすみ<br><br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/06(月) 00:03:15.24 ID:FRAPVQAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/06(月) 08:07:54.15 ID:FRAPVQAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/06(月) 23:30:03.41 ID:FRAPVQAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/07(火) 08:23:02.09 ID:PtXaWwAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/08(水) 07:56:37.40 ID:W2A6RIAO<>おやすみ<br><br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/08(水) 22:53:14.40 ID:W2A6RIAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/09(木) 09:45:44.90 ID:wFQmu2AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/12/10(金) 01:26:16.46 ID:dNi7/rE0<>ぉ休み!!!!!!!!!!!!!!!!!!!!!!!!!！！！！！！！！！！！！！！！<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/10(金) 08:43:42.38 ID:ZBKR7YAO<>おやすみ<br><br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/10(金) 23:54:48.90 ID:ZBKR7YAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/10(金) 23:55:16.23 ID:ZBKR7YAO<>間違えた<br><br><br><br><br><br><br><br><br>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/11(土) 08:29:39.47 ID:jQN8bUAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/12(日) 00:44:38.44 ID:mkJxAwAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/12(日) 12:00:11.88 ID:mkJxAwAO<>おやすみ<br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/12(日) 12:01:48.01 ID:mkJxAwAO<>ありゃ？<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/12(日) 12:23:34.64 ID:AjNqua2o<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/13(月) 00:34:47.53 ID:2BHqJ2AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/13(月) 08:10:54.98 ID:2BHqJ2AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/14(火) 00:20:12.59 ID:mEe7d.AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/14(火) 08:47:52.91 ID:mEe7d.AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/14(火) 23:39:49.44 ID:mEe7d.AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/15(水) 08:04:16.74 ID:AlOEA.AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/15(水) 23:19:16.72 ID:AlOEA.AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/16(木) 08:58:08.50 ID:qReWFQAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/12/17(金) 00:43:10.17 ID:8.cO9Ec0<>ぉやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/17(金) 01:23:12.46 ID:5YpqnwAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/17(金) 08:03:12.60 ID:5YpqnwAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/17(金) 23:18:05.32 ID:5YpqnwAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/18(土) 08:27:53.57 ID:se53jQAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/19(日) 00:33:09.02 ID:lbH9bwAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/19(日) 09:40:25.81 ID:lbH9bwAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/19(日) 09:41:00.76 ID:V./i8z.o<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/19(日) 23:57:10.61 ID:lbH9bwAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/20(月) 09:02:36.48 ID:BYAB6sAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/20(月) 23:57:37.63 ID:BYAB6sAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/20(月) 23:58:01.49 ID:BYAB6sAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/20(月) 23:58:59.98 ID:BYAB6sAO<>ありゃ？<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/21(火) 08:19:21.56 ID:3jdKAwAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/21(火) 23:56:14.73 ID:3jdKAwAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/21(火) 23:56:59.01 ID:Gb0MvYUo<>おやすー<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/12/22(水) 01:57:42.37 ID:FCEmh5I0<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/22(水) 08:01:14.04 ID:C5AVBUAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/12/23(木) 05:19:07.62 ID:gp4eOQ.0<>ぉやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/23(木) 07:54:20.27 ID:ko/YfwAO<>おやすみ<br><br><br><br><br><br><br><br><br>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/23(木) 23:10:44.17 ID:ko/YfwAO<>おやすみ<>
Are you enjoying the time of eve?<>sage<>2010/12/24(クリスマスイブ) 08:14:13.18 ID:BZ8QfEAO<>おはよう<>
Are you enjoying the time of eve?<>sage<>2010/12/24(クリスマスイブ) 22:15:01.06 ID:BZ8QfEAO<>おやすみ<>
Are you enjoying the time of eve?<>sage<>2010/12/25(土) 00:27:24.15 ID:dqeO2Lwo<>おい！動画の続き待ってるから頑張れよ！<>
MerryChristmas!!(明石家サンタやってるよ！)<>sage<>2010/12/25(クリスマス) 08:15:18.23 ID:X3.uGYAO<>おはよう<>
MerryChristmas!!(明石家サンタやってるよ！)<><>2010/12/25(クリスマス) 13:29:10.89 ID:8Id/fpA0<>IDがGYAOｗｗ<>
クリスマス終了のお知らせ<>sage<>2010/12/26(日) 00:46:36.46 ID:xU8lywAO<>おやすみ<>
2010/12/26 5:02:31Taneshima Popura (CV: Asumi Kana), Inami Mahiru (CV: Fujita Saki), Todoroki Yachiyo (CV: Kitamura Eri) - SOMEONE ELSE<><>2010/12/26(日) 05:06:34.22 ID:dSvOe0Q0<>ぉはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/26(日) 10:08:50.77 ID:xU8lywAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/26(日) 10:09:42.17 ID:.Ha1NJUo<>おははー<>
友兼[トモカネ](CV.沢城みゆき) - Coloring palettes トモカネいろ <>sage<>2010/12/26(日) 23:08:28.96 ID:xU8lywAO<>おやすみ<>
坂本真綾 - Down Town <><>2010/12/26(日) 23:54:16.80 ID:dSvOe0Q0<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/27(月) 08:46:45.25 ID:20pH7YAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<><>2010/12/27(月) 08:57:10.03 ID:LOKtIDc0<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/27(月) 23:11:09.98 ID:20pH7YAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/28(火) 08:30:04.12 ID:NK./O6AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/28(火) 23:49:06.50 ID:NK./O6AO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/29(水) 08:48:03.00 ID:GZfkUAAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/29(水) 23:50:13.35 ID:GZfkUAAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/30(木) 08:09:21.36 ID:zvyn96AO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/31(金) 00:00:45.32 ID:7Y5/dwAO<>おやすみ<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/31(金) 08:28:41.20 ID:7Y5/dwAO<>おはよう<>
以下、三日目金曜東Rブロック59Aがお送りします<>sage<>2010/12/31(金) 08:35:56.39 ID:i6GB6/60<>挨拶の人玉虫ちゃん良いお年を<br><br>ぉはよう<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/01(正月) 00:13:19.80 ID:uVBVHoAO<>あけましておめでとうございます。<br><br><br><br><br><br><br><br>おやすみ<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/01(正月) 00:14:51.07 ID:DGkSpUso<>あけましたおめでとうです、おやすめ<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/01(正月) 09:07:40.32 ID:uVBVHoAO<>おはよう<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/02(日) 00:21:24.17 ID:YzFy3EAO<>おやすみ<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/02(日) 08:42:38.88 ID:YzFy3EAO<>おはよう<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/03(月) 00:19:02.19 ID:G93ERoAO<>おやすみ<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/03(月) 10:17:46.34 ID:G93ERoAO<>おはよう<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/03(月) 23:21:41.09 ID:G93ERoAO<>おやすみ<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/04(火) 01:28:36.79 ID:qww5usDO<>おやすみ<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/04(火) 07:12:11.19 ID:qww5usDO<>おはよう<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/04(火) 09:25:53.64 ID:t3gRfQAO<>おはよう<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/05(水) 00:05:10.56 ID:CY3ckQAO<>おやすみ<>
あはっぴぃにゅうにゃぁ２０１１！<>sage<>2011/01/05(水) 02:19:08.97 ID:6WuXzgDO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/05(水) 08:06:16.69 ID:CY3ckQAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/05(水) 23:21:05.60 ID:CY3ckQAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/05(水) 23:57:56.68 ID:6WuXzgDO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/06(木) 08:19:23.86 ID:kwrhE2AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/06(木) 23:17:18.60 ID:kwrhE2AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/06(木) 23:42:14.06 ID:xL/6U6DO<>おやすみ<>
