1<>以下名無しにかわってVIPがお送りします <><>2010/03/05(金) 23:44:29<>過去スレ<br>１：[本ｽﾚ]京都VIPPER移jふぁっ…どこさわっ…んんっ…[inしたらば]<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1149064575/<br>２：【本スレ？】京都VIPPER【inしたらば】<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1166877433/<br>３：【本スレ】京都VIPPER Part2【inしたらば】<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1200539953/<>【本スレ】京都VIPPER Part4【inしたらば】<>JlfIQ8V.0
2<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/03/06(土) 02:28:55<>かれいににげっとずさー<><>alPvU.CQ0
126<>以下名無しにかわってVIPがお送りします <>sage<>2011/05/21(土) 08:24:44<>そうだ！福井へ行こう！<><>WmdReSV6O
127<>以下名無しにかわってVIPがお送りします <><>2011/05/21(土) 08:26:02<>奈良でおなら<><>DSHgIGak0
128<>以下名無しにかわってVIPがお送りします <><>2011/07/13(水) 16:52:35<>祇園祭、放下鉾の曳き初めに行ってきたよｗｗ<><>MKZRU9bEo
129<>以下名無しにかわってVIPがお送りします <><>2011/07/14(木) 22:37:08<><a href="/bbs/read.cgi/computer/30117/1267800269/128" target="_blank">&gt;&gt;128</a><br>良い思い出が出来たんじゃない？<br>今日は比較的空いていたような気がしたよ<><>GwqqPpy20
130<>以下名無しにかわってVIPがお送りします <><>2011/09/17(土) 22:21:30<>暇やな<><>uJd74phoO
131<>以下名無しにかわってVIPがお送りします <><>2011/09/17(土) 22:33:43<>せやな<><>DVKFnVKc0
132<>以下名無しにかわってVIPがお送りします <><>2011/09/25(日) 08:38:07<>少し秋めいてきたな<><>q3coORlA0
133<>以下名無しにかわってVIPがお送りします <>sage<>2011/09/26(月) 09:30:40<>せやな<><>wufev4Po0
134<>以下名無しにかわってVIPがお送りします <><>2011/10/17(月) 11:14:09<>政治家もう秋田<br>じじいに囲まれておもんない<br>囲まれるなら美少女がいいお<><>23xuwkYw0
135<>以下名無しにかわってVIPがお送りします <><>2011/10/26(水) 18:00:04<>じゃあ俺と変わってくれ<><>8pdJcVpU0
136<>以下名無しにかわってVIPがお送りします <><>2011/12/28(水) 19:13:41<>元気してるか？<><>kWdiKc6Ao
137<>以下名無しにかわってVIPがお送りします <>sage<>2011/12/29(木) 10:56:55<>うん<><>pr5iNXUk0
138<>以下名無しにかわってVIPがお送りします <><>2011/12/30(金) 01:12:35<>こ<><>748d.wiUo
139<>以下名無しにかわってVIPがお送りします <><>2011/12/31(土) 10:42:29<>ぶり<><>/4bwazfs0
140<>以下名無しにかわってVIPがお送りします <>sage<>2012/02/04(土) 13:10:52<>すこぶる寒いな(´･ω･)<><>Ty/QfwmsO
141<>以下名無しにかわってVIPがお送りします <><>2012/02/05(日) 09:44:32<>せやな<><>zk.6igI.0
142<>以下名無しにかわってVIPがお送りします <><>2012/02/05(日) 23:30:27<>おめでとう　とだけ言っておく<><>G5zATgpU0
143<>以下名無しにかわってVIPがお送りします <>sage<>2012/02/06(月) 09:18:25<>え？何が？？<><>dlqzQqmw0
144<>以下名無しにかわってVIPがお送りします <><>2012/02/23(木) 23:11:15<>　　　　　　　　　　　　　 　　　　　　　巨乳ー！　　＼<br>　　 ＜⌒／ヽ-、_＿_　　　　　　　　　巨乳ー！　／<br>　／＜_/＿＿＿＿／　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　<br>　￣￣￣￣￣￣￣<br><br>　　　　　　　　　　　…　　　　　　　　巨乳ー！　　＼<br>　　 ＜⌒／ヽ-、_＿_　　　　　　　　　　巨乳ー！／<br>　／＜_/＿＿＿＿／　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 　<br>　￣￣￣￣￣￣￣<br><br>　　　∧∧ 　<br>　　（　ﾟ∀ﾟ）　　　貧乳?　　　　　　　　　　　　　　　貧乳！＞<br>　 ＿|　⊃／(＿＿_<br>／　└-(＿＿＿_／<br><br><br>;;(⌒〜　　　　　　　　　　　　∧∧ 　　　　<br>　(⌒⌒;;(⌒〜　　　　　　ヽ( ﾟ∀ﾟ)/　　　貧乳！貧乳！<br>(⌒;;　(⌒⌒;;(⌒〜　　　　(　 　) 　　　　<br>　　 　(⌒;;　(⌒⌒;;(⌒　≡≡ミ<><>0ZFuv3OM0
145<>以下名無しにかわってVIPがお送りします <>sage<>2012/03/02(金) 00:07:49<>ありがとう　とだけ言っておく<><>DCsCk7VM0
146<>以下名無しにかわってVIPがお送りします <><>2012/03/22(木) 01:27:39<>ありがとう〜♪今年最後の〜♪<><>3KOwCwFw0
147<>以下名無しにかわってVIPがお送りします <><>2012/03/22(木) 09:20:11<>京都に興味持って実際に歩くようになったのは京１がいたからや<><>CF.me9bU0
148<>以下名無しにかわってVIPがお送りします <>sage<>2012/03/22(木) 20:46:22<>なんか携帯から見れなくなったんだが<><>gM.qEx/E0
149<>以下名無しにかわってVIPがお送りします <><>2012/04/26(木) 10:19:23<>久しぶりに鬼ごっしょでもやるか？<br>いかねーけどｗｗ<><>4PudnbvA0
150<>以下名無しにかわってVIPがお送りします <>sage<>2012/04/26(木) 22:18:17<>よしやろうぜ<br>いかねえけど<><>24nOT04M0
151<>以下名無しにかわってVIPがお送りします <><>2012/06/17(日) 23:07:58<>梅雨かー<br>京都はこれから一番いやな季節やな<><>WzK7hi6Y0
152<>以下名無しにかわってVIPがお送りします <><>2012/06/18(月) 09:28:46<>紫陽花の綺麗な季節やで<br>三室戸寺オヌヌメ<><>KAr6AtRQ0
153<>以下名無しにかわってVIPがお送りします <>sage<>2012/06/18(月) 11:11:55<>ヌメヌメ？<><>q4F/Y1NM0
154<>以下名無しにかわってVIPがお送りします <><>2012/07/09(月) 17:43:44<>祇園祭真っ只中やな<><>Ox83dKB60
155<>以下名無しにかわってVIPがお送りします <><>2012/07/14(土) 10:05:35<>京１どうしてるんやろな・・・<><>KY/a430c0
156<>以下名無しにかわってVIPがお送りします <><>2013/04/11(木) 12:12:43<>さて...<br>世の中うまく行かない事ばかり<br><br>俺だけが人生のババばかり引いてるじゃないかとさえ思<><>NFv.cadE0
157<>以下名無しにかわってVIPがお送りします <><>2013/04/11(木) 22:49:11<><a href="/bbs/read.cgi/computer/30117/1267800269/156" target="_blank">&gt;&gt;156</a><br>世の中うまく行かない人ばかり、だよ。<br>みんなその中で小さな幸せを探して見つけて生きてるんだ。<br>どれだけ辛いことがあったのかは知らないが、<br>自分だけって思うと余計に苦しくなるよ。<><>yTBpNWPQ0
158<>以下名無しにかわってVIPがお送りします <><>2014/07/13(日) 21:15:47<>過疎すぎて笑える<br><br><br>ここにいたのももう１０年も前のことか<><>KOtr1zsU0
159<>以下名無しにかわってVIPがお送りします <>sage<>2014/10/02(木) 23:03:52<>10年も経ったのか…(´･ω･`)<><>eli76ShM0
160<>以下名無しにかわってVIPがお送りします <><>2014/11/29(土) 00:09:02<>だな<><>CVKrJArA0
161<>以下名無しにかわってVIPがお送りします <>sage<>2014/11/29(土) 23:26:40<><a href="/bbs/read.cgi/computer/30117/1267800269/160" target="_blank">&gt;&gt;160</a><br>お前もかなりはげたな (´・ω・`)<><>jw64kTAA0
162<>以下名無しにかわってVIPがお送りします <>sage<>2014/11/30(日) 00:00:52<><a href="/bbs/read.cgi/computer/30117/1267800269/160" target="_blank">&gt;&gt;160</a><br>せやねん、マジで禿げてきたわ<br>でもまあＶＩＰＰＥＲらしく天下とったんねんの精神で活動してるけどなｗｗｗ<br>天下取り失敗したけどｗｗｗｗｗｗｗｗｗ<><>aKDm3CiY0
163<>以下名無しにかわってVIPがお送りします <>sage<>2014/12/04(木) 20:16:04<>京1とか何してるんやろ<br>エリート街道まっしぐらなんやろなあ<><>QBjx4iCY0
164<>以下名無しにかわってVIPがお送りします <>sage<>2014/12/04(木) 22:36:47<>京1ってエリートやったんか？(´・ω・`)<><>Png9fxEs0
165<>以下名無しにかわってVIPがお送りします <><>2015/02/12(木) 16:50:55<>気がつけばもうすぐ2期目の選挙か・・・もうやだお(´；ω；｀)<><>qj6ZTBC.0
166<>以下名無しにかわってVIPがお送りします <>sage<>2015/02/13(金) 23:28:31<><a href="/bbs/read.cgi/computer/30117/1267800269/165" target="_blank">&gt;&gt;165</a><br>なめんな(´・ω・`)<br>こちとら3K職場で、有給&ボーナス無しでも頑張ってんだぞ<><>RqaP6uyo0
167<>以下名無しにかわってVIPがお送りします <>hage<>2015/02/13(金) 23:43:42<>時代は4K画質だというのに<br><br>4 Катюша<br>4人もあいつがいたら騒がしいな<><>xVoYpuIU0
168<>以下名無しにかわってVIPがお送りします <>sage<>2015/05/02(土) 23:51:48<>で、落ちたんか？<><>LKua1oLA0
169<>!id:none<>sage<>2015/06/10(水) 11:45:42<>祝当選ｗｗｗｗｗｗ<br>おまいらもはよｗｗｗｗｗｗ<><>tFmAFLPY0
170<>以下名無しにかわってVIPがお送りします<>sage<>2015/08/18(火) 23:59:19<>覚えたい事柄は全然覚えられず、忘れたい出来事はいつまでも脳裏に焼き付いて忘れられない<br><br>もう諦めても良いよね…(´・ω・`)<><>g5XR4qnk0
171<>!id:none<>sage<>2015/08/31(月) 21:40:07<>どまい<><>qArWetQM0
172<>以下名無しにかわってVIPがお送りします<>sage<>2015/12/07(月) 22:20:49<>忘年会やるか<><>8JVG/xbk0
173<>以下名無しにかわってVIPがお送りします<>sage<>2015/12/08(火) 23:40:33<>どこ集まり？<><>2wdmPId60
174<>以下名無しにかわってVIPがお送りします<>sage<>2015/12/09(水) 00:56:51<>そら深夜の御所やろと言いたいがみんなジジババになっててツライだろ<br>御池の地下ダンジョン冒険でいいんじゃね？<br><br>あとは寒い中出町▼の真ん中で熱燗とかな<><>y2u916MQ0
175<>以下名無しにかわってVIPがお送りします<>sage<>2017/03/12(日) 23:18:11<>みんなおひさ<><>8hOOybwc0
176<>以下名無しにかわってVIPがお送りします<>sage<>2018/06/19(火) 10:28:38<>ここって生きてる？<br>古いPCの古いjane開いたら残ってた<><>Ws4onB320
177<>以下名無しにかわってVIPがお送りします<><>2019/07/28(日) 10:25:53<>てすと<><>/YyICTgY0
178<>以下名無しにかわってVIPがお送りします<><>2019/11/26(火) 15:33:59<>ふぅ<><>quPdkIu.0
